Election,Department,Year,Candidate Name,Party,First Round Total Votes,1st Round Percentage of votes,2nd Round Total Votes,2nd Round Percentage of votes,,
LEGISLATIVE ELECTION,BAINET,AUGUST AND OCTOBER 2015,Malherbe Francois,PHTK,"3,994",34.2,"5,052",39.3,,
LEGISLATIVE ELECTION,BAINET,AUGUST AND OCTOBER 2015,SONY CABE,KID,"3,814",32.7,"7,747",60.3,,
LEGISLATIVE ELECTION,BAINET,AUGUST AND OCTOBER 2015,Karl Laplante,Renmen Ayiti,"1,144",9.8,,,,
LEGISLATIVE ELECTION,BAINET,AUGUST AND OCTOBER 2015,Nelan Sylvaince,Fusion,808,6.9,,,,
LEGISLATIVE ELECTION,BAINET,AUGUST AND OCTOBER 2015,Jean Sagaille Marcelin,OPL,697,6,,,,
LEGISLATIVE ELECTION,BAINET,AUGUST AND OCTOBER 2015,4 others,,,,,,,
LEGISLATIVE ELECTION,BAINET,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,BELLE-ANSE,AUGUST AND OCTOBER 2015,VILMA MATHIEU,AAA,"1,489",23.1,"4,595",51.9,,
LEGISLATIVE ELECTION,BELLE-ANSE,AUGUST AND OCTOBER 2015,Rossini Jean-Pierre,PHTK,"1,327",20.6,"4,194",47.4,,
LEGISLATIVE ELECTION,BELLE-ANSE,AUGUST AND OCTOBER 2015,Clebert Balthazar,OPL,958,14.8,,,,
LEGISLATIVE ELECTION,BELLE-ANSE,AUGUST AND OCTOBER 2015,Jean Ronel Sistanis,Fusion,500,7.7,,,,
LEGISLATIVE ELECTION,BELLE-ANSE,AUGUST AND OCTOBER 2015,Henry Sauveur Petion,Adrena,473,7.3,,,,
LEGISLATIVE ELECTION,BELLE-ANSE,AUGUST AND OCTOBER 2015,Marius Pascal,Verite,419,6.5,,,,
LEGISLATIVE ELECTION,BELLE-ANSE,AUGUST AND OCTOBER 2015,5 others,,,,,,,
LEGISLATIVE ELECTION,BELLE-ANSE,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,CAYES JACMEL,AUGUST AND OCTOBER 2015,PIERRE ROOSVELT DUBREUZE,OPL,"2,313",25.7,"6,190",57.9,,
LEGISLATIVE ELECTION,CAYES JACMEL,AUGUST AND OCTOBER 2015,Jean Benissoit Mercredy,LAPEH,"1,937",21.5,"4,483",41.9,,
LEGISLATIVE ELECTION,CAYES JACMEL,AUGUST AND OCTOBER 2015,Kenol Charles,PHTK,"1,381",15.3,,,,
LEGISLATIVE ELECTION,CAYES JACMEL,AUGUST AND OCTOBER 2015,Wilda Pyram,Pitit Dess,"1,090",12.1,,,,
LEGISLATIVE ELECTION,CAYES JACMEL,AUGUST AND OCTOBER 2015,Jean Delouis Felix,Verite,805,8.9,,,,
LEGISLATIVE ELECTION,CAYES JACMEL,AUGUST AND OCTOBER 2015,Pierre Andre Cesar,Renmen Ayiti,730,8.1,,,,
LEGISLATIVE ELECTION,CAYES JACMEL,AUGUST AND OCTOBER 2015,5 others,,,,,,,
LEGISLATIVE ELECTION,CAYES JACMEL,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,COTE-DE-FER,AUGUST AND OCTOBER 2015,Roudy Devil,OPL,"3,374",30,,,,
LEGISLATIVE ELECTION,COTE-DE-FER,AUGUST AND OCTOBER 2015,Lesly Guirand,PHTK,"3,116",27.7,,,,
LEGISLATIVE ELECTION,COTE-DE-FER,AUGUST AND OCTOBER 2015,Joseph Gontran Louis,Verite,"2,529",22.5,,,,
LEGISLATIVE ELECTION,COTE-DE-FER,AUGUST AND OCTOBER 2015,Jean Georges Baptiste,Concorde,825,7.4,,,,
LEGISLATIVE ELECTION,COTE-DE-FER,AUGUST AND OCTOBER 2015,Rosemond Orleans,Fusion,569,5.1,,,,
LEGISLATIVE ELECTION,COTE-DE-FER,AUGUST AND OCTOBER 2015,3 others,,,,,,,
LEGISLATIVE ELECTION,COTE-DE-FER,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,GRAND-GOSIER,AUGUST AND OCTOBER 2015,PAUL HERMANN VIL,PHTK,764,29,"2,009",50.7,,
LEGISLATIVE ELECTION,GRAND-GOSIER,AUGUST AND OCTOBER 2015,Jean Onel Charles,Opl,566,21.5,"1,876",47.4,,
LEGISLATIVE ELECTION,GRAND-GOSIER,AUGUST AND OCTOBER 2015,Eddy Antoine,Verite,432,16.4,,,,
LEGISLATIVE ELECTION,GRAND-GOSIER,AUGUST AND OCTOBER 2015,Jean Colbert Charles,Renmen Ayiti,255,9.7,,,,
LEGISLATIVE ELECTION,GRAND-GOSIER,AUGUST AND OCTOBER 2015,Yves Arold Lafleur,Pitit Dess,147,5.6,,,,
LEGISLATIVE ELECTION,GRAND-GOSIER,AUGUST AND OCTOBER 2015,6 others,,,,,,,
LEGISLATIVE ELECTION,GRAND-GOSIER,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,JACMEL,AUGUST AND OCTOBER 2015,KETEL JEAN-PHILIPPE,OPL,"7,122",29.5,"20,508",65.8,,
LEGISLATIVE ELECTION,JACMEL,AUGUST AND OCTOBER 2015,Pierre Jacques Khawly,PHTK,"6,216",25.8,"10,453",33.5,,
LEGISLATIVE ELECTION,JACMEL,AUGUST AND OCTOBER 2015,Patrick Domond,KID,"3,185",13.2,,,,
LEGISLATIVE ELECTION,JACMEL,AUGUST AND OCTOBER 2015,21 others,,,,,,,
LEGISLATIVE ELECTION,JACMEL,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,LA VALLEE DE JACMEL,AUGUST AND OCTOBER 2015,NESTOR AMBROISE,Bouclier,"1,014",16.1,"3,585",49.9,,
LEGISLATIVE ELECTION,LA VALLEE DE JACMEL,AUGUST AND OCTOBER 2015,Yvrance Joseph,APLA,951,15.1,"3,517",49,,
LEGISLATIVE ELECTION,LA VALLEE DE JACMEL,AUGUST AND OCTOBER 2015,Franck Lauture,OPL,938,14.9,,,,
LEGISLATIVE ELECTION,LA VALLEE DE JACMEL,AUGUST AND OCTOBER 2015,Jean Edzer Valentin,PHTK,937,14.8,,,,
LEGISLATIVE ELECTION,LA VALLEE DE JACMEL,AUGUST AND OCTOBER 2015,Justa Gabriel,Pont,834,13.2,,,,
LEGISLATIVE ELECTION,LA VALLEE DE JACMEL,AUGUST AND OCTOBER 2015,Ruffine Labbe,Verite,498,7.9,,,,
LEGISLATIVE ELECTION,LA VALLEE DE JACMEL,AUGUST AND OCTOBER 2015,Frantz Ceau Aridou,PPG18,374,5.9,,,,
LEGISLATIVE ELECTION,LA VALLEE DE JACMEL,AUGUST AND OCTOBER 2015,8 others,,,,,,,
LEGISLATIVE ELECTION,LA VALLEE DE JACMEL,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,MARIGOT,AUGUST AND OCTOBER 2015,Dieudonne Lherisson,PHTK,"2,904",26.1,,,,
LEGISLATIVE ELECTION,MARIGOT,AUGUST AND OCTOBER 2015,Deus Deronneth,Pont,"2,519",22.6,,,,
LEGISLATIVE ELECTION,MARIGOT,AUGUST AND OCTOBER 2015,Rosenie Gustave,Fanmi L,"1,812",16.3,,,,
LEGISLATIVE ELECTION,MARIGOT,AUGUST AND OCTOBER 2015,Gethene Poustin,OPL,"1,207",10.8,,,,
LEGISLATIVE ELECTION,MARIGOT,AUGUST AND OCTOBER 2015,Yolande Jean Pascal,APLA,981,8.8,,,,
LEGISLATIVE ELECTION,MARIGOT,AUGUST AND OCTOBER 2015,Getho Severe,Verite,805,7.2,,,,
LEGISLATIVE ELECTION,MARIGOT,AUGUST AND OCTOBER 2015,7 others,,,,,,,
LEGISLATIVE ELECTION,MARIGOT,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,THIOTTE,AUGUST AND OCTOBER 2015,VIKERSON GARNIER,Fanmi L,"1,471",24,"4,950",56.3,,
LEGISLATIVE ELECTION,THIOTTE,AUGUST AND OCTOBER 2015,Harmel Cazeau,OPL,"1,154",18.8,"3,797",43.2,,
LEGISLATIVE ELECTION,THIOTTE,AUGUST AND OCTOBER 2015,Jean Camille Desmarattes,PHTK,"1,022",16.7,,,,
LEGISLATIVE ELECTION,THIOTTE,AUGUST AND OCTOBER 2015,Johny Deeb Batrony,LAPEH,904,14.8,,,,
LEGISLATIVE ELECTION,THIOTTE,AUGUST AND OCTOBER 2015,Jean Ked Neptune,UNCRH,767,12.5,,,,
LEGISLATIVE ELECTION,THIOTTE,AUGUST AND OCTOBER 2015,Jean Robert Jean,Pitit Dess,519,8.5,,,,
LEGISLATIVE ELECTION,THIOTTE,AUGUST AND OCTOBER 2015,2 others,,,,,,,
LEGISLATIVE ELECTION,THIOTTE,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,THIOTTE,AUGUST AND OCTOBER 2015,,,,,,,2010-11 presidential election,
LEGISLATIVE ELECTION,THIOTTE,AUGUST AND OCTOBER 2015,,,,,,,National summary,http://psephos.adam-carr.net/countries/h/haiti/haiti2010.txt
LEGISLATIVE ELECTION,THIOTTE,AUGUST AND OCTOBER 2015,,,,,,,,
NATIONAL SUMMARY,THIOTTE,2010-2011,,,,,,,,
NATIONAL SUMMARY,THIOTTE,2010-2011,Axan Delson Abellard,Knda,"3,110",0.3,,,,
NATIONAL SUMMARY,THIOTTE,2010-2011,Jacques Edouard Alexis,MPH,"32,932",3.1,,,,
NATIONAL SUMMARY,THIOTTE,2010-2011,Jean Hector Anacacis,Modejha,"4,165",0.4,,,,
NATIONAL SUMMARY,THIOTTE,2010-2011,Charles Henri Baker,Respe,"25,512",2.4,,,,
NATIONAL SUMMARY,THIOTTE,2010-2011,Anne Marie Josette Bijou,,"10,782",1,,,,
NATIONAL SUMMARY,THIOTTE,2010-2011,Gerard Marie Necker Blot,Platfom 16 Desanm,"2,621",0.2,,,,
NATIONAL SUMMARY,THIOTTE,2010-2011,Jean Henry Ceant,Renmen Ayiti,"87,834",8.2,,,,
NATIONAL SUMMARY,THIOTTE,2010-2011,Jude Celestin,Inite,"241,462",22.5,,,,
NATIONAL SUMMARY,THIOTTE,2010-2011,Eric Smarki Charles,Penh,"2,597",0.2,,,,
NATIONAL SUMMARY,THIOTTE,2010-2011,Yves Cristalin,Lavni,"17,133",1.6,,,,
NATIONAL SUMMARY,THIOTTE,2010-2011,Wilson Jeudy,Force 2010,"6,076",0.6,,,,
NATIONAL SUMMARY,THIOTTE,2010-2011,Jean Chavannes Jeune,Accrha,"19,348",1.8,,,,
NATIONAL SUMMARY,THIOTTE,2010-2011,Leon Jeune,Kle,"3,738",0.4,,,,
NATIONAL SUMMARY,THIOTTE,2010-2011,Genard Joseph,Solidarite,"9,164",0.9,,,,
NATIONAL SUMMARY,THIOTTE,2010-2011,Garaudy Laguerre,Wozo,"2,802",0.3,,,,
NATIONAL SUMMARY,THIOTTE,2010-2011,Mirlande Manigat,RDNP,"336,878",31.4,"336,747",32,,
NATIONAL SUMMARY,THIOTTE,2010-2011,Michel Joseph Martelly,Repons Peyizan,"234,617",21.8,"716,986",68,,
NATIONAL SUMMARY,THIOTTE,2010-2011,Yvon Néptune,Ayisyen Pou Ayiti,"4,217",0.4,,,,
NATIONAL SUMMARY,THIOTTE,2010-2011,Leslie Voltaire,Ansanm Nou Fo,"16,199",1.5,,,,
NATIONAL SUMMARY,THIOTTE,2010-2011,,,,,,,,
NATIONAL SUMMARY,THIOTTE,2010-2011,,,,,,,2010-11 legislative election,
NATIONAL SUMMARY,THIOTTE,2010-2011,,,,,,,Senate election,http://psephos.adam-carr.net/countries/h/haiti/haiti20102.txt
NATIONAL SUMMARY,THIOTTE,2010-2011,,,,,,,,
LEGISLATIVE ELECTION OF SENATE,THIOTTE,NOVEMBER 2010 AND MARCH 2011,,,,,,,,
LEGISLATIVE ELECTION OF SENATE,ARTIBONITE,NOVEMBER 2010 AND MARCH 2011,Joseph Francois Anick,Altenativ,"39,737",33.3,"70,517",65.2,,
LEGISLATIVE ELECTION OF SENATE,ARTIBONITE,NOVEMBER 2010 AND MARCH 2011,Chrysostome Michel,Inite,"37,924",31.8,"37,631",34.8,,
LEGISLATIVE ELECTION OF SENATE,ARTIBONITE,NOVEMBER 2010 AND MARCH 2011,Joseph Medard,Ansanm Nou Fo,"11,342",9.5,,,,
LEGISLATIVE ELECTION OF SENATE,ARTIBONITE,NOVEMBER 2010 AND MARCH 2011,Benjamin Francklin,AAA,"9,616",8.1,,,,
LEGISLATIVE ELECTION OF SENATE,ARTIBONITE,NOVEMBER 2010 AND MARCH 2011,Dieujuste Arsene,Mochrenha,"7,987",6.7,,,,
LEGISLATIVE ELECTION OF SENATE,ARTIBONITE,NOVEMBER 2010 AND MARCH 2011,Albert Charles P Antoine,Respe,"7,010",5.9,,,,
LEGISLATIVE ELECTION OF SENATE,ARTIBONITE,NOVEMBER 2010 AND MARCH 2011,1 other,,,,,,,
LEGISLATIVE ELECTION OF SENATE,ARTIBONITE,NOVEMBER 2010 AND MARCH 2011,,,,,,,,
LEGISLATIVE ELECTION OF SENATE,CENTRE,NOVEMBER 2010 AND MARCH 2011,François,Inite,"21,190",16.6,"25,873",23.3,,
LEGISLATIVE ELECTION OF SENATE,CENTRE,NOVEMBER 2010 AND MARCH 2011,Desras Simon Dieuseul,Lavni,"20,485",16,"29,756",26.8,,
LEGISLATIVE ELECTION OF SENATE,CENTRE,NOVEMBER 2010 AND MARCH 2011,Delacruz Francisco,Altenativ,"19,623",15.4,"34,622",31.1,,
LEGISLATIVE ELECTION OF SENATE,CENTRE,NOVEMBER 2010 AND MARCH 2011,Laguerre Lochard,Inite,"17,776",13.9,"17,776",16,,
LEGISLATIVE ELECTION OF SENATE,CENTRE,NOVEMBER 2010 AND MARCH 2011,St Nare Philefrant,Mas,"13,527",10.6,,,,
LEGISLATIVE ELECTION OF SENATE,CENTRE,NOVEMBER 2010 AND MARCH 2011,Bernadeau Mona,Pun,"11,689",9.2,,,,
LEGISLATIVE ELECTION OF SENATE,CENTRE,NOVEMBER 2010 AND MARCH 2011,,,,,,,,
LEGISLATIVE ELECTION OF SENATE,GRAND ANSE,NOVEMBER 2010 AND MARCH 2011,Andris Riche,Altenativ,"17,027",28.8,"29,847",57,,
LEGISLATIVE ELECTION OF SENATE,GRAND ANSE,NOVEMBER 2010 AND MARCH 2011,Frederick Jean Lavaud,Inite,"16,857",28.5,"22,507",43,,
LEGISLATIVE ELECTION OF SENATE,GRAND ANSE,NOVEMBER 2010 AND MARCH 2011,Robert Jean Fleurant,Solidarite,"12,845",21.7,,,,
LEGISLATIVE ELECTION OF SENATE,GRAND ANSE,NOVEMBER 2010 AND MARCH 2011,Pleteau Larousse,Respe,"5,125",8.7,,,,
LEGISLATIVE ELECTION OF SENATE,GRAND ANSE,NOVEMBER 2010 AND MARCH 2011,Josma Jean Pradel,Plaph,"3,744",6.3,,,,
LEGISLATIVE ELECTION OF SENATE,GRAND ANSE,NOVEMBER 2010 AND MARCH 2011,Frederic Jean William,Lavni,"3,519",6,,,,
LEGISLATIVE ELECTION OF SENATE,GRAND ANSE,NOVEMBER 2010 AND MARCH 2011,,,,,,,,
LEGISLATIVE ELECTION OF SENATE,NIPPES,NOVEMBER 2010 AND MARCH 2011,PRIVERT JOCELERME,Inite,"26,137",48.2,,,,
LEGISLATIVE ELECTION OF SENATE,NIPPES,NOVEMBER 2010 AND MARCH 2011,Gaspard Serge Delva,Ansanm Nou Fo,"14,474",26.7,,,,
LEGISLATIVE ELECTION OF SENATE,NIPPES,NOVEMBER 2010 AND MARCH 2011,Pierre Louis Jean Joseph,Altenativ,"6,504",11.9,,,,
LEGISLATIVE ELECTION OF SENATE,NIPPES,NOVEMBER 2010 AND MARCH 2011,Saint-Cyr Ulrick,Lavni,"4,214",7.8,,,,
LEGISLATIVE ELECTION OF SENATE,NIPPES,NOVEMBER 2010 AND MARCH 2011,2 others,,"2,957",5.5,,,,
LEGISLATIVE ELECTION OF SENATE,NIPPES,NOVEMBER 2010 AND MARCH 2011,,,,,,,,
LEGISLATIVE ELECTION OF SENATE,NORD,NOVEMBER 2010 AND MARCH 2011,Polycarpe Westner,Altenativ,"50,214",45.6,"67,191",71,,
LEGISLATIVE ELECTION OF SENATE,NORD,NOVEMBER 2010 AND MARCH 2011,Marcellus Nawoon,Inite,"24,198",22,"27,408",29,,
LEGISLATIVE ELECTION OF SENATE,NORD,NOVEMBER 2010 AND MARCH 2011,Gilles Cemephise,Ucadde,"21,283",19.3,,,,
LEGISLATIVE ELECTION OF SENATE,NORD,NOVEMBER 2010 AND MARCH 2011,6 others,,"14,548",13.2,,,,
LEGISLATIVE ELECTION OF SENATE,NORD,NOVEMBER 2010 AND MARCH 2011,,,,,,,,
LEGISLATIVE ELECTION OF SENATE,NORD EST,NOVEMBER 2010 AND MARCH 2011,Bien Aime Jean Baptiste,Inite,"23,280",39.4,"25,474",52.3,,
LEGISLATIVE ELECTION OF SENATE,NORD EST,NOVEMBER 2010 AND MARCH 2011,Jean Gerald,Altenativ,"21,870",37,"23,232",47.7,,
LEGISLATIVE ELECTION OF SENATE,NORD EST,NOVEMBER 2010 AND MARCH 2011,Jean Judnel,AAA,"6,674",11.3,,,,
LEGISLATIVE ELECTION OF SENATE,NORD EST,NOVEMBER 2010 AND MARCH 2011,5 others,,"7,294",12.3,,,,
LEGISLATIVE ELECTION OF SENATE,NORD EST,NOVEMBER 2010 AND MARCH 2011,,,,,,,,
LEGISLATIVE ELECTION OF SENATE,NORD OUEST,NOVEMBER 2010 AND MARCH 2011,SAINVIL FRANCOIS LUCAS,Inite,30949,42.4,,,,
LEGISLATIVE ELECTION OF SENATE,NORD OUEST,NOVEMBER 2010 AND MARCH 2011,Desamours Henry,Rasamble,12793,17.5,,,,
LEGISLATIVE ELECTION OF SENATE,NORD OUEST,NOVEMBER 2010 AND MARCH 2011,Lafrance Josue,Pont,9934,13.6,,,,
LEGISLATIVE ELECTION OF SENATE,NORD OUEST,NOVEMBER 2010 AND MARCH 2011,Duroseau Flaubert Jn Jacques,Lavni,7953,10.9,,,,
LEGISLATIVE ELECTION OF SENATE,NORD OUEST,NOVEMBER 2010 AND MARCH 2011,Bastien Eddy,AAA,4949,6.8,,,,
LEGISLATIVE ELECTION OF SENATE,NORD OUEST,NOVEMBER 2010 AND MARCH 2011,3 others,,6392,8.8,,,,
LEGISLATIVE ELECTION OF SENATE,NORD OUEST,NOVEMBER 2010 AND MARCH 2011,,,,,,,,
LEGISLATIVE ELECTION OF SENATE,OUEST,NOVEMBER 2010 AND MARCH 2011,BENOIT STEVEN IRVENSON,Altenativ,"183,157",62.6,,,,
LEGISLATIVE ELECTION OF SENATE,OUEST,NOVEMBER 2010 AND MARCH 2011,Claude Marie Denise,Inite,"37,182",12.7,,,,
LEGISLATIVE ELECTION OF SENATE,OUEST,NOVEMBER 2010 AND MARCH 2011,Heriveaux Rudy,Ansanm Nou Fo,"15,250",5.2,,,,
LEGISLATIVE ELECTION OF SENATE,OUEST,NOVEMBER 2010 AND MARCH 2011,16 others,,"57,126",19.5,,,,
LEGISLATIVE ELECTION OF SENATE,OUEST,NOVEMBER 2010 AND MARCH 2011,,,,,,,,
LEGISLATIVE ELECTION OF SENATE,SUD,NOVEMBER 2010 AND MARCH 2011,Lebon Fritz Carlos,Inite,"32,446",31.1,"61,416",58.9,,
LEGISLATIVE ELECTION OF SENATE,SUD,NOVEMBER 2010 AND MARCH 2011,Geneste Jean Davide,AAA,"13,454",12.9,"42,772",41.1,,
LEGISLATIVE ELECTION OF SENATE,SUD,NOVEMBER 2010 AND MARCH 2011,Dorismond Beonard,Plat Lib,"9,673",9.3,,,,
LEGISLATIVE ELECTION OF SENATE,SUD,NOVEMBER 2010 AND MARCH 2011,Comeau Marie Danielle,Rasamble,"9,258",8.9,,,,
LEGISLATIVE ELECTION OF SENATE,SUD,NOVEMBER 2010 AND MARCH 2011,Raphael Louis Paul,Veye Yo,"9,124",8.8,,,,
LEGISLATIVE ELECTION OF SENATE,SUD,NOVEMBER 2010 AND MARCH 2011,Sanon Jeannot,Plaph,"7,999",7.7,,,,
LEGISLATIVE ELECTION OF SENATE,SUD,NOVEMBER 2010 AND MARCH 2011,5 others,,"22,315",21.4,,,,
LEGISLATIVE ELECTION OF SENATE,SUD,NOVEMBER 2010 AND MARCH 2011,,,,,,,,
LEGISLATIVE ELECTION OF SENATE,SUD EST,NOVEMBER 2010 AND MARCH 2011,ZENNY EDWIN,Inite,"38,506",58.7,,,,
LEGISLATIVE ELECTION OF SENATE,SUD EST,NOVEMBER 2010 AND MARCH 2011,Pierre Ricard,Altenativ,"12,402",18.9,,,,
LEGISLATIVE ELECTION OF SENATE,SUD EST,NOVEMBER 2010 AND MARCH 2011,Mathurin Laurent Fequiere,Ansanm Nou Fo,"8,711",13.3,,,,
LEGISLATIVE ELECTION OF SENATE,SUD EST,NOVEMBER 2010 AND MARCH 2011,3 others,,"6,020",9.2,,,,
LEGISLATIVE ELECTION OF SENATE,SUD EST,NOVEMBER 2010 AND MARCH 2011,,,,,,,,
LEGISLATIVE ELECTION OF SENATE,SUD EST,NOVEMBER 2010 AND MARCH 2011,,,,,,,2006 presidential election,
LEGISLATIVE ELECTION OF SENATE,SUD EST,NOVEMBER 2010 AND MARCH 2011,,,,,,,National summary,http://psephos.adam-carr.net/countries/h/haiti/haiti2006.txt
LEGISLATIVE ELECTION OF SENATE,SUD EST,NOVEMBER 2010 AND MARCH 2011,,,,,,,,
PRESIDENTIAL ELECTION OF NATIONAL SUMMARY,SUD EST,06-Feb-06,Charles Baker,Respe,"159,683",8.2,,,,
PRESIDENTIAL ELECTION OF NATIONAL SUMMARY,SUD EST,Feb-06,Marc Bazin,Lavalas,"13,136",0.7,,,,
PRESIDENTIAL ELECTION OF NATIONAL SUMMARY,SUD EST,Feb-06,Jean-Baptiste Belizaire,,"4,478",0.2,,,,
PRESIDENTIAL ELECTION OF NATIONAL SUMMARY,SUD EST,Feb-06,Joel Bourgella,,"4,073",0.2,,,,
PRESIDENTIAL ELECTION OF NATIONAL SUMMARY,SUD EST,Feb-06,Jean Buteau,,"6,543",0.3,,,,
PRESIDENTIAL ELECTION OF NATIONAL SUMMARY,SUD EST,Feb-06,Jean-Marie Cherestal,,"5,490",0.3,,,,
PRESIDENTIAL ELECTION OF NATIONAL SUMMARY,SUD EST,Feb-06,Bonivert Claude,,"3,442",0.2,,,,
PRESIDENTIAL ELECTION OF NATIONAL SUMMARY,SUD EST,Feb-06,Turneb Delpe,,"4,466",0.2,,,,
PRESIDENTIAL ELECTION OF NATIONAL SUMMARY,SUD EST,Feb-06,Paul Denis,OPL,"48,232",2.5,,,,
PRESIDENTIAL ELECTION OF NATIONAL SUMMARY,SUD EST,Feb-06,Hubert Deronceray,,"18,459",0.9,,,,
PRESIDENTIAL ELECTION OF NATIONAL SUMMARY,SUD EST,Feb-06,Marc Destin,,"4,210",0.2,,,,
PRESIDENTIAL ELECTION OF NATIONAL SUMMARY,SUD EST,Feb-06,Joseph Duplan,,"9,791",0.5,,,,
PRESIDENTIAL ELECTION OF NATIONAL SUMMARY,SUD EST,Feb-06,Nicolas Evans,,"4,050",0.2,,,,
PRESIDENTIAL ELECTION OF NATIONAL SUMMARY,SUD EST,Feb-06,Luc Fleurinord,MIRN,"36,912",1.9,,,,
PRESIDENTIAL ELECTION OF NATIONAL SUMMARY,SUD EST,Feb-06,Edouard Francisque,,"5,518",0.3,,,,
PRESIDENTIAL ELECTION OF NATIONAL SUMMARY,SUD EST,Feb-06,Reynold Georges,,"2,942",0.2,,,,
PRESIDENTIAL ELECTION OF NATIONAL SUMMARY,SUD EST,Feb-06,Serge Gilles,Fusion,"50,796",2.6,,,,
PRESIDENTIAL ELECTION OF NATIONAL SUMMARY,SUD EST,Feb-06,Gerard Gourgue,,"5,852",0.3,,,,
PRESIDENTIAL ELECTION OF NATIONAL SUMMARY,SUD EST,Feb-06,Jean Jeune,Union,"108,283",5.6,,,,
PRESIDENTIAL ELECTION OF NATIONAL SUMMARY,SUD EST,Feb-06,Rene Julien,,"8,608",0.4,,,,
PRESIDENTIAL ELECTION OF NATIONAL SUMMARY,SUD EST,Feb-06,Emmanuel Justima,,"3,038",0.2,,,,
PRESIDENTIAL ELECTION OF NATIONAL SUMMARY,SUD EST,Feb-06,Raoul Liberis,,"3,270",0.2,,,,
PRESIDENTIAL ELECTION OF NATIONAL SUMMARY,SUD EST,Feb-06,Lesly Manigat,RDNP,"240,306",12.4,,,,
PRESIDENTIAL ELECTION OF NATIONAL SUMMARY,SUD EST,Feb-06,Luc Mesadieu,Mochrenah,"64,850",3.4,,,,
PRESIDENTIAL ELECTION OF NATIONAL SUMMARY,SUD EST,Feb-06,Evans Paul,Alyans,"28,390",2.2,,,,
PRESIDENTIAL ELECTION OF NATIONAL SUMMARY,SUD EST,Feb-06,Frantz Perpignan,,"6,296",0.3,,,,
PRESIDENTIAL ELECTION OF NATIONAL SUMMARY,SUD EST,Feb-06,Guy Philippe,FRN,"37,303",1.9,,,,
PRESIDENTIAL ELECTION OF NATIONAL SUMMARY,SUD EST,Feb-06,Rene Preval,Lespwa,"992,766",51.2,,,,
PRESIDENTIAL ELECTION OF NATIONAL SUMMARY,SUD EST,Feb-06,Himmler Rebu,,"3,774",0.2,,,,
PRESIDENTIAL ELECTION OF NATIONAL SUMMARY,SUD EST,Feb-06,Charles Romain,,"3,622",0.2,,,,
PRESIDENTIAL ELECTION OF NATIONAL SUMMARY,SUD EST,Feb-06,Franck Romain,,"6,524",0.3,,,,
PRESIDENTIAL ELECTION OF NATIONAL SUMMARY,SUD EST,Feb-06,Joe Roy,,"7,889",0.4,,,,
PRESIDENTIAL ELECTION OF NATIONAL SUMMARY,SUD EST,Feb-06,Yves Saint-Louis,,"2,969",0.2,,,,
PRESIDENTIAL ELECTION OF NATIONAL SUMMARY,SUD EST,Feb-06,Jean-Jacques Sylvain,,"2,414",0.1,,,,
PRESIDENTIAL ELECTION OF NATIONAL SUMMARY,SUD EST,Feb-06,Dany Toussaint,,"7,905",0.4,,,,
PRESIDENTIAL ELECTION OF NATIONAL SUMMARY,SUD EST,Feb-06,,,,,,,,
PRESIDENTIAL ELECTION OF NATIONAL SUMMARY,SUD EST,Feb-06,,,,,,,Voting by Department,http://psephos.adam-carr.net/countries/h/haiti/haiti20062.txt
PRESIDENTIAL ELECTION OF NATIONAL SUMMARY,SUD EST,Feb-06,,,,,,,,
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,SUD EST,06-Feb-06,,,,,,,,
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,ARTIBONITE,Feb-06,Charles Baker,Respe,"15,651",6.9,,,,
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,ARTIBONITE,Feb-06,Lesly Manigat,RDNP,"37,156",16.2,,,,
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,ARTIBONITE,Feb-06,Luc Mesadieu,Mochrenah,"29,868",13.1,,,,
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,ARTIBONITE,Feb-06,Rene Preval,Lespwa,"109,606",47.9,,,,
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,ARTIBONITE,Feb-06,Others,,"36,632",16,,,,
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,ARTIBONITE,Feb-06,,,,,,,,
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,CENTRE,Feb-06,Charles Baker,Respe,"18,770",18.4,,,,
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,CENTRE,Feb-06,Serge Gilles,,"9,534",9.3,,,,
